City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Akdepe,TM,75.29,clear sky,42.0551,59.3788,Мой дом
3,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
10,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
12,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
20,Lerici,IT,75.65,scattered clouds,44.0759,9.9112,Doria Park Hotel
27,Yellowknife,CA,87.33,few clouds,62.456,-114.3525,The Explorer Hotel
32,Kirakira,SB,78.39,overcast clouds,-10.4544,161.9205,SanBiz Lodge
34,Axim,GH,75.88,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
39,Zenzeli,RU,77.99,clear sky,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
41,Paragominas,BR,77.85,overcast clouds,-2.9667,-47.4833,INOVA
44,Norman Wells,CA,87.84,smoke,65.282,-126.8329,Heritage Hotel
49,Hilo,US,79.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,Sao Filipe,CV,76.01,clear sky,14.8961,-24.4956,Hotel Xaguate
56,Thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
59,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
62,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Pontes E Lacerda,BR,77.34,clear sky,-15.2261,-59.3353,Hotel Bressan
77,Awbari,LY,89.74,clear sky,26.5921,12.7805,فندق أوباري
82,Komsomolskiy,UZ,78.22,overcast clouds,40.4272,71.7189,Ikathouse
88,Dingle,PH,77.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
98,Dong Hoi,VN,83.34,overcast clouds,17.4833,106.6,Nam Long Hotel
99,San Diego De Los Banos,CU,87.44,light rain,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
104,Omboue,GA,75.22,overcast clouds,-1.5746,9.2618,Hotel Olako
108,Kavieng,PG,82.71,clear sky,-2.5744,150.7967,Nusa Island Retreat
112,Banda Aceh,ID,79.74,overcast clouds,5.5577,95.3222,Sulthan Hotel International
118,Fortuna,US,85.42,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
119,Weligama,LK,77.99,overcast clouds,5.9667,80.4167,Weligama Bay Resort
122,Kudat,MY,76.93,few clouds,6.8837,116.8477,Dream Garden Hotel
125,Ruidoso,US,75.96,light rain,33.3317,-105.673,Inn of the Mountain Gods
127,Sinnamary,GF,79.56,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
130,Shimoda,JP,86.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
133,Bridgetown,BB,82.89,few clouds,13.1,-59.6167,Hilton Barbados Resort
134,Campoverde,PE,83.89,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
136,Waddan,LY,86.76,clear sky,29.1614,16.139,محل الشريف محمد العايب
137,Hasaki,JP,82.62,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
139,Marsh Harbour,BS,85.01,broken clouds,26.5412,-77.0636,Abaco Beach Resort
140,Half Moon Bay,US,88.92,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
141,Kokopo,PG,79.03,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
