City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Akdepe,TM,42.0551,59.3788,75.29,28,0,10.07,clear sky
1,Mataura,NZ,-46.1927,168.8643,43.48,95,80,2.82,broken clouds
2,Tashla,RU,51.7716,52.7427,74.03,51,9,4.38,clear sky
3,Touros,BR,-5.1989,-35.4608,79.7,74,5,19.42,clear sky
4,Nyurba,RU,63.2842,118.3319,63.18,60,100,4.99,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,46.06,46,20,17.27,few clouds
6,Ust-Maya,RU,60.4167,134.5333,63.63,61,95,4.76,overcast clouds
7,Marathon,US,44.9,-89.7668,75.24,47,75,11.5,broken clouds
8,Waipawa,NZ,-41.4122,175.5153,49.46,76,94,3.76,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,56.89,79,94,2.19,overcast clouds
10,Atuona,PF,-9.8,-139.0333,77.11,69,31,11.18,scattered clouds
11,Aswan,EG,24.0934,32.907,94.3,13,0,4.61,clear sky
12,Kapaa,US,22.0752,-159.319,84.18,77,90,3.0,light rain
13,Rikitea,PF,-23.1203,-134.9692,69.31,58,53,22.48,broken clouds
14,Busselton,AU,-33.65,115.3333,53.98,60,92,9.17,overcast clouds
15,Vaini,TO,-21.2,-175.2,73.56,83,40,21.85,scattered clouds
16,Avarua,CK,-21.2078,-159.775,75.25,94,75,11.5,moderate rain
17,Lagoa,PT,39.05,-27.9833,72.12,95,43,16.15,scattered clouds
18,Ossora,RU,59.2353,163.0719,53.92,71,100,6.71,overcast clouds
19,San Vicente,AR,-26.6167,-54.1333,52.63,66,10,2.04,clear sky
20,Lerici,IT,44.0759,9.9112,75.65,73,34,16.64,scattered clouds
21,Pangnirtung,CA,66.1451,-65.7125,53.29,70,100,2.89,overcast clouds
22,Taksimo,RU,56.3444,114.8794,54.27,96,100,2.66,light rain
23,Castro,BR,-24.7911,-50.0119,48.43,85,67,2.39,broken clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,93.61,68,20,5.01,few clouds
25,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,17.27,scattered clouds
26,Tahe,CN,52.3333,124.7333,51.6,88,2,3.0,clear sky
27,Yellowknife,CA,62.456,-114.3525,87.33,28,20,3.44,few clouds
28,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,67,75,19.57,broken clouds
29,Port Lincoln,AU,-34.7333,135.8667,52.34,50,19,25.59,few clouds
30,Jamestown,US,42.097,-79.2353,70.3,66,20,4.0,few clouds
